Variable	House	Question																																							
TRADVALS	BES	Please tick one box for each statements below to show how much you agree or disagree with it. Young people today don’t have enough respect for traditional British values.																																							
TROOPOUT	BSA	Some people think that government policy towards Northern Ireland should include a complete withdrawal of British Troops. Would you personally support or oppose such a policy? Strongly or a little?																																							
TUBETTER	GALLUP	I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it? Most workers who are not in management jobs would be better off belonging to a union than not belonging to one.																																							
TUCNTRL	GALLUP	How important would you say controlling the unions is at the moment?																																							
TUCOMP	MORI	"I am going to read out some statements relating to trade unions. For each one, please tell me from this card, how strongly you agree or disagree with it? Everyone who works should have to belong to a trade union."																																							
TUCOMP2	GALLUP	In a factory which has an union should the workers who are not members be free to stay out of the union if they are getting union rates of pay or should it be compulsory that they join the union?																																							
TUCOMP3	GALLUP	Do you think the union members are or are not justified in putting pressure on the non-members to join the union by refusing to work with them?																																							
TUEFFIC	GALLUP	Do you think that Trade Unions should or should not try to get their members to work more efficiently?																																							
TUESSEN	MORI	"I am going to read out some statements relating to trade unions. For each one, please tell me from this card, how strongly you agree or disagree with it? Trade unions are essential to protect workers' interests."																																							
TUEXTREM	MORI	"I am going to read out some statements relating to trade unions. For each one, please tell me from this card, how strongly you agree or disagree with it? Most trade unions are controlled by extremists and militants."																																							
TUFAIR	GALLUP	I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it. Trade unions ensure fair treatment for workers.																																							
TUGOOD	GALLUP	"Generally speaking and thinking of Britain as a whole, do you think Trade Unions are a good or bad thing?"																																							
TUJOIN	GALLUP	Do you think that employers should or should not encourage their staff to join a trade union?																																							
TULAWS	BES	"Using this card, do you think the government should or should not do the following, or doesn't it matter either way? Introduce stricter laws to regulate the activities of trade unions."																																							
TULAWS	BSA	Please tick one box for each statement below to show whether or not you think the government should: Introduce stricter laws to regulate the activities of trade unions.																																							
TULDRS	GALLUP	I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it. Trade unions get power or money for union leaders.																																							
TUNEEDED	GALLUP	"I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it. Trade unions may have been needed at one time in Britain, but not any longer."																																							
TUPOWER	BES	Thinking now of trade unions and big business in this country. Do you think that trade unions have too much power or not?																																							
TUPOWER	BSA	Do you think that trade unions in this country have too much power or too little power?																																							
TUPOWER2	MORI	"I am going to read out some statements relating to trade unions. For each one, please tell me from this card, how strongly you agree or disagree with it? Trade unions have to much power in Britain today."																																							
TUPOWER3	GALLUP	"Do you think that trade unions are becoming too powerful, are not powerful enough or are about right?"																																							
TUPOWER4	NOP	"Do you think the unions have too much power, too little power, or about the right amount?"																																							
TUPOWER5	NOP	Do you agree or disagree that Trade Unions have too much power in Britain today?																																							
TUPRISON	GALLUP	Do you think that trade union leaders should or should not be sent to prison for defying the law?																																							
TUPROFIT	GALLUP	Do you think that Trade Unions should or should not support the idea that people employed by a firm should have a share in the profits of their firm?																																							
TUREFOR1	GALLUP	Can you tell me whether you approve or disapprove of the following suggestions for the reform of trade union law? Closed shops should be established only if a majority of the workers concerned vote for it.																																							
TUREFOR2	GALLUP	Can you tell me whether you approve or disapprove of the following suggestions for the reform of trade union law? No strikes to be called until there is a postal ballot of union members involved.																																							
TUREFOR3	GALLUP	"Can you tell me whether you approve or disapprove of the following suggestions for the reform of trade union law? A ban on secondary picketing, that is, a ban on picketing a company not directly involved in a strike. "																																							
TUREFOR4	GALLUP	Can you tell me whether you approve or disapprove of the following suggestions for the reform of trade union law? Public money to be used to encourage a wider use of trade union secret ballots.																																							
TUREFOR5	GALLUP	"Can you tell me whether you approve or disapprove of the following suggestions for the reform of trade union law? Removal of the right of those in key public industries to strike, in return for guaranteed wage increases."																																							
TUREFOR6	GALLUP	"Do you think that workers on strike at a company should or should not be able to picket the factory, so long as the picket is peaceful?"																																							
TUREFOR7	GALLUP	Do you think that people who are not employed by a particular factory or company where there is a strike should or should not be able to support the strike by joining the picketing? 																																							
TUREGUL	GALLUP	"Do you think that the laws regulating trade unions have gone too far, not far enough, or are about right?"																																							
TUSHARE	GALLUP	"Do you think that Trade Unions should or should not take a share in the management of the firms for which their members work, e.g. the appointment of foremen, etc?"																																							
TUWAGES	GALLUP	I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it. Wages and working conditions would have reached today's level even without the efforts of trade unions.																																							
TUWAGES2	GALLUP	"I'm going to read you a few statements. For each please tell me if you tend to agree or disagree with it. Trade unions improve wages, working conditions and job security for workers."																																							
UNEBENEF	GALLUP	"Do you think the current unemployment benefits are too high, about right or too low?"																																							
UNEFAULT	BES	"Please say whether you agree or disagree with each of the following statements, or say if you are not sure either way. When someone is unemployed it’s usually his or her own fault."																																							
UNEFAULT	BSA	Please tick one box for each statement to show how much you agree or disagree with it. When someone is unemployed it's usually his or her own fault.																																							
UNEMPBAD	GALLUP	Do you think that unemployment is always a bad thing or can it sometimes be justified as necessary during a period of adjustment?																																							
UNEMPINF	BSA	"If the government had to choose between keeping down inflation or keeping down unemployment, to which do you think it should give highest priority? (face-to-face)"																																							
UNEMPINF2	BSA	If the government had to choose between keeping down inflation or keeping down unemployment to which do you think it should give highest priority? (self-completion)																																							
UNEMPINF3	GALLUP	Which do you think the government should give greater attention to -trying to curb inflation or trying to reduce unemployment?																																							
UNEMPINF4	GALLUP	"Do you think that the Government should or should not always aim at keeping unemployment as low as possible, even if this means some inflation with rising prices?"																																							
UNEMPJOB	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. Around here, most unemployed people could find a job if they really wanted one."																																							
UNIONMORE	ICM	Agree/disagree with statement: Trade unions should have more say in the running of the economy.																																							
UNITEDIRE	GALLUP	Do you approve or disapprove if our Government encouraged Northern Ireland to join up with Southern Ireland?																																							
UKNUCPOL	BSA	"Which, if either, of these two statements comes closest to your own opinion on British nuclear policy? Britain should rid itself of nuclear weapons while persuading others to do the same OR Britain should keep its nuclear weapons until we persuade others to reduce theirs. "																																							
USANUKE	BSA	Do you think that the siting of American nuclear missiles in Britain makes Britain a safer or a less safe place to live?																																							
OWNNUKE	BSA	And do you think that having our own independent nuclear missiles makes Britain a safer or a less safe place to live?																																							
VIETNAM1	NOP	On the whole do you think Britain should support the Americans in Vietnam or not?																																							
VIETNAM2	GALLUP	Would you approve or disapprove if the British government were to send British troops to fight alongside the South Vietnamese in Vietnam?																																							
WAGECLM	GALLUP	In the present situation should the trade unions hold back wage claims or go ahead with their demands?																																							
WEALTH	BSA	Please tick one box for each statement to show how much you agree or disagree with it. Ordinary working people do not get their fair share of the nation's wealth.																																							
WEALTH	BES	Please tick one box for each statement below to show how much you agree or disagree with it. Ordinary working people do not get their fair share of the nation's wealth.																																							
WEALTH1	BES	Please indicate whether you agree or disagree with each of the following statements. Ordinary working people get their fair share of the nation's wealth.																																							
WEALTH1	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Ordinary people get their fair share of the nation's wealth.																																							
WEALTH1	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? Ordinary people get their fair share of the nation's wealth.																																							
WEALTH2	BHPS	People have different views about society. I'm going to read out some things people have said about Britain today and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. Ordinary people get their fair share of the nation's wealth.																																							
WELFARE	BSA	Derived Variable: Welfare Scale.																																							
WELFBEN	BES	"I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not gone far enough. First the welfare benefits that are available to people today?"																																							
WELFBEN	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: the welfare benefits that are available today?"																																							
WELFFEET	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. If welfare benefits weren't so generous people would learn to stand on their own two feet.																																							
WELFHELP	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. The welfare state encourages people to stop helping each other.																																							
WELFRESP	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. The welfare state makes people nowadays less willing to look after themselves.																																							
WELFSTIG	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. People receiving social security are made to feel like second class citizens.																																							
WOMEQU	GALLUP	"Do you approve or disapprove of paying women the same as men, if they are doing the same work?"																																							
WORKERS	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving workers more say in the running of the place where they work?"																																							
WORKERS	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving workers more say in the running of the place where they work?"																																							
WORKERS	BES	"Do you think the government should or should not do the following , or doesn't it matter either way? Give workers more say in running where they work."																																							
WRONGLAW	BSA	"Please tick one box for each statement to show how much you agree or disagree with it. The law should always be obeyed, even if a particular law is wrong."																																							

																																									
